Station_code,Station_name,Latitude,Longitude,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
81149,The Sunny Spring Condo,1.312125692,103.8896603,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81151,Kong Hwa Sch,1.311533056,103.8878458,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81159,Opp Kong Hwa Sch,1.311678738,103.8874161,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81161,blk 56,1.310546388,103.8831815,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81169,Opp Blk 56,1.310783719,103.8831317,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81171,Blk 39,1.307517037,103.8850075,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81179,Blk 22,1.307260868,103.8849071,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81181,Dakota Stn Exit A/Blk 99,1.308455448,103.8884721,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81189,Dakota Stn Exit B/Blk 60,1.308213086,103.8885088,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81191,AFT OLD AIRPORT RD,1.309131667,103.8918,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
81199,BEF OLD AIRPORT RD,1.308629373,103.8906311,1,MOUNTBATTEN,MPSZ01,MARINE PARADE,MP,CENTRAL REGION,CR
81201,Opp Geylang Meth Sec Sch,1.318693022,103.8830068,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81209,Geylang Meth Pr Sch,1.318436125,103.8842972,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81211,Geylang Polyclinic,1.319046664,103.8866675,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
81219,Opp Geylang Polyclinic,1.318771413,103.886687,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
